Genero,energy,valence,tempo,num_canciones,Avr. Energy,Avr. Valence,Avr. Tempo
Pop,1126.817,873.1031,188621.293,1630,0.691298773006135,0.5356460736196319,115.71858466257669
Rock,177.19,118.2145,28258.908,233,0.7604721030042918,0.5073583690987125,121.2828669527897
