0,0
1,Genre
2,pop
3,rock
4, pop
5, country
6, metal
7,hip hop
8, R&B
9, rock
10,Dance/Electronic
11, Dance/Electronic
12, Folk/Acoustic
13, easy listening
14,metal
15,R&B
16, latin
17,Folk/Acoustic
18, blues
19,set()
20,World/Traditional
21, hip hop
22,latin
23, jazz
24,country
25, classical
26,easy listening
